Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
Alameda Unified School District,AUSD-SIMI+,Alameda,CA,94501,"""he Alameda Unified School District Strategic and Intensive Mathematics Initiative Plus (AUSD-SIMI+) is a comprehensive professional development program in mathematics content knowledge and pedagogy for grades K through Algebra I teachers. It will target all elementary and secondary mathematics teachers in all grades K through Algebra 1 related courses (230 teachers).  The partnership's primary goals are to: (1) enhance teachers' content and pedagogical knowledge; (2) prepare mathematics teachers to provide standards-based instruction using state-approved and district-adopted textbooks; and, ultimately, (3) eliminate the achievement gap in mathematics for African-American, Hispanic, and socio-economically disadvantaged students. The 'Plus' in AUSD-SIMI+ is derived from AUSD's participation since 2005 in the regional SIMI partnership to improve mathematics professional development, student learning, and teacher collaboration, and build upon the success of the Alameda County Office of Education (ACOE) and California State University East Bay (CSUEB) Mathematics Development Center (MDC) professional development model, which focuses on teacher content knowledge, collaborative lesson design, coaching support, and formative assessment for differentiation of instruction.  By utilizing Investing in Innovation funds, AUSD-SIMI+ will create the first district wide implementation of the SIMI model, and further develop and add to the existing online professional development materials and lesson plans developed with nearby districts implementing similar models for improving mathematics achievement, and by providing additional data for the implementation of the MDC model district wide throughout the region, state, and nation.  As a clear demonstration of the potential of this model, the California Department of Education and the California state evaluator for California Mathematics and Science Partnership (CaMSP) grants have signed on as partners for AUSD-SIMI+.  ?????""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,5 years,5000000,No,"Alameda, CA
(37.7606, -122.26)"
Albany Park Neighborhood Council,Everyone Graduates Collaborative (EGC) -- A project of the Albany Park Neighborhood Council modeled after the Greater Albany Park Education Coalition,Chicago,IL,60625,"""The Greater Albany Park Education Coalition is a Chicago neighborhood based professional learning community that engages students, teachers, administrators from Roosevelt high school and it's feeder schools as well as university partners to increase college readiness.  The Everyone Graduates Collaborative (EGC) would build upon and expand this reform model by providing resources for schools that have been identified for corrective action to craft and implement college readiness strategies within a setting that contains a traditionally large population of high-need students (ELL, high poverty) to increase the success of under-represented student populations in academically rigorous courses and programs. The EGC would comprehensively target whole school communities focusing on neighborhood high schools and their feeder elementary schools to provide support around four intervention areas instrumental to successful school reform: (1) Facilitating the Vision, Formation, and Implementation of  Neighborhood-wide (6th - 12th grade) College Readiness Collaboratives, (2) Developing  Teachers and Administrators as Instructional Leaders, (3) Supporting School-wide Data Driven Decision-making Strategies, and (4) Supporting High School Students to Implement Youth-led Strategies to Lower the Drop-out Rates, and Address College Readiness. Chicago Public Schools is the official LEA partrner of the EGC. The collaborative will also engage three CPS high schools (Dyett, Senn and Roosevelt), along with their feeder elementary schools, and partnering community organizations KOCO, and ONE. (Refer to Appendix H1 for detailed EGC cluster demographic information). EGC will collaborate with Targeted Leadership Consulting as an official partner to provide support around principal and school distributive leadership, and will seek to partner with Asian-Pacific Math Science Education Collaborative at DePaul University and Consortium on Chicago School Research at the Univeristy of Chicago.""",AP4: Persistently Low-Performing Schools,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,4 years,4998406,No,"Chicago, IL
(41.9685, -87.7037)"
Albemarle County Public Schools,Consortium for Human Capital Management Data Systems (HCMDS),Charlottesville,VA,22902,"""The Consortium for Human Capital Management Data Systems collaborative initiative will focus on improving student achievement by hiring, developing and retaining the best educators as well as reducing costs and improving the efficiency and effectiveness of human capital processes. The University of Virginia?s Curry School of Education will provide the research-based foundation for the HCMDS solution and inform best practices related to standards for performance management and evaluation. School division partners will focus on the identification and application of key processes and practices related to human capital management, especially those that improve the quality and capacity of teachers and administrators in support of student achievement. Schoolnet will act as the lead project manager and developer of the HCMDS software solution. Consortium members will define the key challenges and business requirements around creating and implementing a systematic approach to human capital management and design an integrated solution that solves these problems for districts around the country.""",AP1: Effective Teachers and Principals,,Nonprofit w/ LEA,Validation,5 years,20513529,No,"Charlottesville, VA
(38.0003, -78.4636)"
Alcorn State University,Alcorn State University Saturday Science Academy (SSA),Alcorn State,MS,39096,"""The Saturday Science Academy provides opportunities for university faculty and staff members as well asuniversity students to obtain practical experiences in working with middle school students, thereby enhancingtheir own competencies as preparers of teachers and as potential teachers of K-12 students respectively.After school tutoring for each school at least one day per week at each participating middle school will beprovided by SSA. Also SSA will provide a two week camp with emphasis on reading comprehension inaddition to mathematics and science skills for 150 students. SSA will provide additional exposure to schoolparticipants through hands-on activities, educational field trips, and by entering into county, regional andnationwide competitions.The Saturday Science Academy objectives are as follows:1. Provide experimental learning to students in a classroom/laboratory setting to increase individual knowledge inscience, technology, engineering and mathematics.2. Improve the number of African Americans pursuing careers in Science, Technology, Engineering, andMathematics disciplines.3. Improve literacy skills among children and low income adults and introduce isolated populations to the largernetwork of available services at Alcorn State University.4. Enhance school academic programs and attract additional and regular participation in this program.5. Remove barriers and embarrassment for adults who are technology have not?s so that they can derive benefitsfrom technology such as assisting children with school work, connecting with community resources, research,accessing and using data for informed decision making.""",AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,3 years,881395,Yes,"Alcorn State, MS
(31.8172, -91.197)"
Alcorn State University,Alcorn State University Teaching Educators to Advance Math and Science (TEAMS),Alcorn State,MS,39096,"""The Department of Biological Sciences, Department of Mathematics and Department of Education at AlcornState University (ASU) in Lorman, MS are seeking a Development Grant to support a program designed toaddress the need to increase the number or percentages of teachers or principals who are highly effectiveteachers or principals and to reduce the number or percentages of teachers or principals who are ineffective inmath and science in the middle and high school local school districts. The major goals of the project are to:train teachers in modern techniques used in science and math; make them well aware of the computerapplications in the field; stimulate their interest and increase the motivational levels of teachers and students;and provide academic support designed to enhance the academic achievement of students. This program willdirectly involve twenty teachers consisting of in-service teachers in grades' six through twelve in theNatchez/Adams, Brookhaven, Claiborne, Hazlehurst, Jefferson, Vicksburg, Warren Central, and WilkinsonSchools.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,3 years,461492,Yes,"Alcorn State, MS
(31.8172, -91.197)"
Aldine Independent School District,Classroom Process Redesign-CPR for Schools,Houston,TX,77032,"""CPR-Program DescriptionCPR for SCHOOLS - Investing in Innovation Development GrantProject Description: Classroom Process Redesign - CPR for SCHOOLS breathes life into schools by applying Process and Performance Management (PPM) to instruction in grades 6-12. The goal is to improve student achievement and attainment, for all students, including high-needs students, by translating the standards and information from assessments into classroom practices. This is accomplished by linking traditional methods of Accountability through Outcomes and Improvement through Process.""",AP3: High Standards and High-Quality Assessments,CP7: Unique Learning Needs,LEA,Development,3 years,4959639,No,"Houston, TX
(29.9408, -95.3459)"
Alexander City,ALEXANDER City I3,Alexander City,AL,35010,,,,(not provided),Development,,3294750,No,"Alexander City, AL
(32.9134, -85.9384)"
All Kinds of Minds,All Kinds of Minds: Management by Learning Profile,Durham,NC,27713,"""All Kinds of Minds (AKOM)'s Management by Learning Profile approach to using data to understand a student's learning strengths and weaknesses offers a solution for all educators trying to improve the learning and achievement outcomes of underperforming students. Using a neurodevelopmental framework, along with this uniquely designed process of data collection, educators can gather data from multiple sources - including student work, parents, other teachers, the students themselves - to enhance the data already available through high-stakes test data, in order to build richer data portraits of the students who are failing to achieve, encouraging better instructional decision-making among the educators trying to help them, fostering greater collaboration among educators, families and other stakeholders, and improving student outcomes. We see particular value in this approach for rural schools and districts, which face special challenges in ensuring a top-quality education for all students. AKOM will partner with five rural districts in three states (NC, OH, OK) and the School Improvement Network to harness web-based technology to create a suite of training, tools and technical assistance to help rural educators meet the needs of their most challenging learners. The proposed project is intended to verify two critical hypotheses: first, that we can more directly link the Management by Learning Profile process to increases in student learning as measured by the student achievement data used by states and districts; and second, that the positive findings from the studies of participation in the face-to-face Schools Attuned program can be achieved and even strengthened through a purposeful move to an online learning and delivery environment with implementation that is locally adaptable. This is what will enable AKOM and the School Improvement Network to make this innovation scalable.""",AP2: Use of Data,CP8: Rural LEAs,Nonprofit w/ LEA,Development,3 years,3955397,No,"Durham, NC
(35.9166, -78.9176)"
All Write!!! Consortium/ LEA East Noble School Corporation,All Write!!! Development Grant: Innovations That Support Effective Teachers and Principals,Kendallville,IN,46755,"""Twelve school districts in northeastern Indiana formed the All Write!!! Consortium in 2002 with the purpose of providing professional development in writing instruction to teachers grades kindergarten through middle school, with the goal of expanding to the high school. Our consortium has grown to 24 school districts in northern Indiana and southern Michigan providing training in reading and writing instruction. We have provided ongoing workshops and institutes designed for teachers and administrators as well as literacy coach training and collaboration. Our goal is develop a strong system of professional development in all content areas with literacy as the guiding focus. We realize we need to be innovative in our delivery of professional development to reach more teachers and principals through cutting edge technology and continued training for leadership as well as teachers.""",AP1: Effective Teachers and Principals,CP8: Rural LEAs,LEA,Development,5 years,1140000,No,"Kendallville, IN
(41.4487, -85.2633)"
Alleghany County Schools,Alleghany CREST,Sparta,NC,28675,"""Alleghany CREST (College Ready through Extended Learning, Scholarship and Technology) will meet the needs of 1800 students in our LEA.  We are applying to address Absolute Priority #2 Innovations that Improve the Use of Data as it pertains to early childhood development, school age child extended learning and subsequent college/career readiness in a rural school setting. We will expand our vision of education from K-12 to Birth to Career by using the Parents As Teachers model to develop school readiness in our youngest citizens.  We will assess for developmental delays utilizing a play-based assessment center. We will increase the number of children ready for school upon initial enrollment by increasing early childhood opportunities.  We will increase the number of school age children performing at or above grade level and increase the number of students reporting positive engagement with school. We will use formative assessments to target instruction for all youth, not just those performing below grade level, and for all educational encounters - not just those occurring during the traditional school day.  We will extend learning opportunities for all students by extending the school year by using a modified school calendar that complements the culture of our county.  We will increase the percentage of students graduating college and career ready.  We will apply the use of formative assessments to the 9-12 student population as well as PK-8 with particular emphasis on adolescent literacy and math. We will use technology through a 1:1 laptop initiative to address the 21st Century Skills needed for our youth to be successful. The Alleghany Educational Foundation will raise funds to provide scholarships for all graduates of Alleghany High School.""",AP2: Use of Data,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP8: Rural LEAs",LEA,Validation,5 years,5008095,No,"Sparta, NC
(36.5062, -81.1173)"
Allegheny Intermediate Unit,"Professional Learning Communities:  Secondary, Collaborative, Embedded, Structured, Supported STEM+ Focus (PLC SCESSS+)",Homestead,PA,15120,"""PLC SCESSS+   To meet the challenge of implementing high standards in STEM for all students at the secondary level, PLC SCESSS+ taps capacity built with Math Science Partnership support to implement structured, focused Professional Learning Communities (PLCs) for one uninterrupted hour of meeting time each week in each of the core departments of 27 middle and high schools in 14 districts, serving 1,941 students. These PLCs will be led by teacher leaders representing the math, science, language arts, and social studies departments.  The value of this approach will be documented in a variety of settings, representing the full range of income, geographic settings (from urban to rural), size, and achievement level. The essential elements of the PLCs are summarized by the acronym PLC SCESSS+:  Focused on the Secondary level, they address the challenge of decreasing student performance.  Collaborative notes that all teachers will engage in departmental PLCs.  Embedded requires one uninterrupted hour per week. STEM + notes the involvement of all core subject departments.  English and social studies will engage in similarly structured PLCs focused on 'Non-fiction Reading and Writing' of targeted STEM concepts.  Structured notes the shared two-fold goals for PLC work each year involving (1) the major concepts of particular STEM courses required for graduation, and (2) a common long-term goal, drawing from the key 21st century skills.  It also describes the two active PLC processes focused on those goals: (1) development, enacting and de-briefing of collaborative lessons, and (2) development and analysis of assessment items.  Supported indicates regional professional development (1) for the leaders from each departmental PLC (5 to 7 days each year) that prepares and supports them in guiding their departmental building-based PLCs using protocols and research-based tools; and (2) for building administrators (3 days each year) to build capacity to support building-based PLCs.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Development,5 years,4881607,Yes,"Homestead, PA
(40.3948, -79.9032)"
Allendale County Schools,"Attitude, Behavior, and Conditions (ABC) Power Series and Realizing Everyday is About Learning (REAL) Link Mentoring Programs",Fairfax,SC,29827,,AP4: Persistently Low-Performing Schools,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",N/A,Development,3 years,,No,"Fairfax, SC
(32.9234, -81.2858)"
Allentown City School District,Allentown Students First,Allentown,PA,18105,"""ASD proposes an Investing in Innovation Development grant focused on Absolute Priority 1-Innovations that Support Effective Teachers and Principals.  The innovation is called Allentown Students First (ASF) and is a new system that integrates the centralized student information system (SIS) and student assessment results, and presents educators with the real-time, integrated, standards-aligned data they need to advance student achievement.  The goal of the project is to increase teacher and principal effectiveness by providing (A) comprehensive and easy-to-use views of data at the school-, grade-, class-, and student-levels, and (B) training, professional development, and communications support to drive adoption and use of data to inform instruction for the ASD student population of 17,725.""",AP2: Use of Data,"CP5: Early Learning, CP7: Unique Learning Needs",LEA,Development,3 years,4999838,No,"Allentown, PA
(40.5689, -75.5367)"
Alliance for College-Ready Public School,California's Commitment to College Consortium (C4),Los Angeles,CA,90007,"""C4 - California 's Commitment to College Consortium will dramatically and significantly improve student achievement in four distinctive and increasingly diverse California school systems:  Alliance College Ready Public Schools, Compton Unified School District, Lodi Unified School District, and West Contra Costa Unified School District.  C4 is a multi-tiered statewide initiative designed to prepare approximately 50,000 middle and high school students in partnering districts for success in college and careers and to close achievement gaps between racial and socioeconomic groups.  The overarching goals of the proposed project are to:  1) Provide high quality evaluation of current Advanced Placement course instructional strategies and practices; 2) Increase Advanced Placement course access, participation and student success on Advanced Placement Exams; 3) Vertically align middle and high school course rigor; 4) Expand teacher and administrator capacity; and 5) Provide college planning and preparation supports for all students.Key project components will include:  1) Development of more rigorous, pre-AP courses in core curriculum areas via comprehensive faculty professional development including vertical teaming and collaboration between middle and high school faculty to develop a planned, sequential program through which students develop the content area knowledge and skills needed to proceed successfully from one grade level to the next; 2) A focus on middle school students' preparation for and success in Algebra in 8th grade, a gatekeeper for advanced coursework in high school, and for students' sequential advance to AP Calculus; 3) Content area training for AP, prospective AP, and pre-AP course teachers.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Validation,5 years,29952471,No,"Los Angeles, CA
(34.0265, -118.282)"
Alliance for College-Ready Public Schools,CollegeYes,Los Angeles,CA,90007,"""CollegeYES uses engaging and empowering strategies to prepare high-need Alliance middle and high schoolstudents to enroll and graduate from college by emphasizing selected new Common Core and College/CareerReadiness Standards aligned with ISTE Technology, 21st Century Standards, and California ContentStandards. The CollegeYES Model supports students in their STEM courses and Advisory period to: (a)address students? preparedness and expectations related to college; (b) help students understand issues ofcollege affordability and the financial aid and college application processes; and (c) provide support tostudents from peers and knowledgeable adults.Through professional development for teachers, the development of a virtual/real learning community, and theuse of a successful Student Technology Leader (STL) program, CollegeYES will capture the power oftechnology to address this priority. Teachers will align their curriculum to new standards, and collaborate withSTLs to integrate technology-infused rigorous project-based learning into their courses. Advisory teachers andcounselors will work with STLs to integrate projects and long-term career/college portfolios into their AllianceAdvisory Curriculum. STLs will mentor peers to help other students with projects and portfolios.Alliance schools will incorporate powerful uses of technology into teaching and learning and open up the virtualworld of information, resources and tools for students to prepare for careers and college. Theses resources andtools, along with the projects and college/career portfolios, will increase awareness and expectations ofstudents and their families, and support them in planning a pathway to college and careers.CollegeYES will support the Alliance community of schools through the development of a virtual component toconnect schools, strengthen and sustain the project. Families and students will actively engage to improveparent participation and increase student outcomes.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ consortium of schools,Development,5 years,4989786,No,"Los Angeles, CA
(34.0265, -118.282)"
Alpena-Montmorency-Alcona Educational Service District,Rural and Ready for Education (RARE),Alpena,MI,49707,"""This project proposes to improve the educational achievement and growth of high-need students in rural schools by closing in the achievement gap for underrepresented students, decreasing dropout rates, and increasing high school graduation rates through focusing on teacher and school leader effectiveness. The ISDs, working together, promoted data-based decision making through the implementation of Data Director which brought and warehoused data to the teachers' desktops in the 2009-2010 academic year. This massive data implementation project, however, was just an initial, but promising step to initiate a massive paradigm shift. Simply, through this proposed project, the ISDs will:1.	Continue to provide teachers with data for instructional decisions;2.	Expand the data warehousing for the teachers and school leaders;3.	Provide professional development on assessment literacy and balance, formative assessment;4.	Examine data-based decision making to change  practice; and 5.	Implement a  research-based Teacher Online Evaluation System The following two specific goals of the project form the design structure of the proposed project:1.	Improve teacher effectiveness; and2.	Improve school leader effectiveness.To improve teacher and school leader effectiveness, the teachers and school leaders will participate in professional development that examines teaching based on data and evaluates teaching using research-based practices. When the teachers and school leaders have strategies that improve their instructional decision making, they can design better instructional practices. The aim is for teachers and school leaders to demonstrate the following outcomes:1.	Improve student achievement and growth;2.	Reduce the achievement gap impacting underrepresented students;3.	Lower the dropout rates; and4.	Improve graduation rates.""",AP2: Use of Data,CP8: Rural LEAs,LEA,Development,5 years,5000000,No,"Alpena, MI
(45.0756, -83.4781)"
Alternative Schools Network,Innovate to Educate and Elevate:,Chicago,IL,60640,"""Two months after the passing of Jaime Escalante, people continue to laud him as an exceptional teacher whose efforts were captured on the big screen single handedly changing the lives of marginalized youth and successfully engaging them in advanced math. Escalante would be the first to tell you that he did not do it alone. He needed support from colleagues, a principal who backed him with resources, and intra-school collaborations to build a successful program to reach students on the margins.As with Mr. Escalante's visionary work, this pilot 'The IEE Collaboration' will support student learning in a broad sense by building collaboration between historically isolated institutions to make a greater impact on student achievement and reducing the dropout rate. This effort will bring together staff of two 'high need' Chicago Public High Schools and 22 feeder alternative schools to work together to reduce dropout rates and provide students with opportunities to graduate.The IEE-Collaboration will be facilitated by the Alternative Schools Network of Chicago (ASN) and will include the services of three institutional partners; Northeastern Illinois University, Illinois College and CLASS Leadership Development. All four will provide participating school leaders, teachers, and support staff with job embedded professional development services that will target essential skills that students must learn to be successful and to develop a pipeline to existing alternative schools to re-enroll students who have dropped out.The program outcomes are as follows: 1 Increased student achievement, attendance and graduation rate at participating schools 2 Enhanced leadership capacity for participating principals and assistant principals 3 The creation of sustainable structures to support distributive leadership 4 The establishment of a leadership pipeline for participating schools 5 Development of a learning zone that fosters collaboration and sharing best practices""",AP1: Effective Teachers and Principals,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Development,4 years,2380644,Yes,"Chicago, IL
(41.9726, -87.6667)"
Amador County Office of Education,Excellence for All,Jackson,CA,95642,"""'Excellence for All', was noted as a 'State of California Promising Practice' for helping to close the achievement gap for our most at risk students, a component of the program won the Character Education Partnership National Schools of Character Promising Practices Award and helped to earn several California Distinguished Schools Award - an award reserved for less than 10% of the schools in California.	Excellence for All is a program that is relevant, cutting edge, cost effective and easily duplicated.  It can be implemented pre-K through 12 (and beyond) is research grounded, serves all students, helped close our achievement gap and is based on the concept of standards-based education that prepares students to be college and career ready.  The focus is on teaching the whole student, using research-based and research validated best instructional practices and holding the achievement bar high for all students and teachers.  Excellence for All is centered on data driven teaching - student acheivement data and teacher achievement data - and individual instruction plans for students and teachers alike.  The core is job embedded professional development based on the student achievement results for individual teacher's students.""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",LEA,Scale-up,3 years,3010200,Yes,"Jackson, CA
(38.3607, -120.743)"
Amador County Unified School District,VR For All,Jackson,CA,95642,"""Brief project description including project activities:  The Amador County Unified School District is applying for a i3 Validation Grant in order to expand and increase the reach of the imperative active participation, direct instruction and data disaggregation work we are doing. There is an abundance of significance data around the affects of direct instruction, active participation and data driven practices and this Validation Grant will take it one step further?into the world of the ultimate direct instruction and active participation experience - virtual reality and CAVE Virtual Reality.THE ONE ABSOLUTE PRIORITY:  College and Career-ready Standards and AssessmentsCOMPETITIVE PERFRENCES PRIORITIES:  College Access and Success, Serving Students with Disabilities, Serving ELL Students, Serving Students in Rural LEAs.""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",LEA,Validation,4 years,8214970,Yes,"Jackson, CA
(38.3607, -120.743)"
AMERICA'S FOUNDATION FOR CHESS,First Move In Class Chess CurriculumA Vehicle to Teach Critical Thinking,Bellevue,WA,98004,,,,(not provided),Development,,1572999,No,"Bellevue, WA
(47.6172, -122.209)"
American Association of Physics Teachers,STEM Reform Via Modeling Instruction,College Park,MD,20740,"""We propose to create a national network of university-based sites that will offer Modeling Instruction Summer Institutes as intensive professional development for in-service and pre-service physics, chemistry, and physical science teachers.  The following proposal describes a $22,954,796, four-year program that will take place at six universities, 26 LEAs, with overall project management by three national science professional societies.  Over the life of the project, we anticipate the 820 teachers will be directly trained in Modeling Instruction and become leaders in a national STEM reform movement and on the order of 100,000 students will experience high quality STEM teaching and learning.  We expect to achieve the following objectives and outcomes: (1) Pre-college STEM education reform utilizing Modeling Instruction, (2) A national network of university-based physics and chemistry departments engaged in teacher professional development, (3) A national network of qualified STEM teachers and teacher leaders working to close the achievement gap.  This project will deliver four coupled professional development services for STEM teachers, specifically those who teach physics, chemistry, and physical science that address Competitive Preferences Priorities 6 and 8: (a) Modeling Summer Institutes for specific courses in grades 8-12, (b) Teacher networking and support throughout the year, (c) Engaging principals in Modeling and reform, and (d) Leader Workshops.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ LEA,Validation,4 years,22954796,Yes,"College Park, MD
(38.9987, -76.9287)"
American Association of School Administrators,Math Plus: Online Tutoring to Increase Achievement in Rural Schools,Arlington,VA,22203,"""DESCRIPTION: The American Association of School Administrators (AASA) and Tutor.com will offer free, online, on-demand tutoring services to 7th, 8th, and 9th grade students in six rural districts to improve achievement in mathematics. Students will be able to access tutor.com over any internet connected computer at school, at home, or at their local library 24 hours a day, seven days a week. This proposed project, Math Plus, will engage Mid-Continent Research for Education and Learning (McREL) to measure usage, efficacy, changes in student attitudes, and changes in student achievement. Nineteen percent of the country?s total public school enrollment attended public schools in rural communities, where opportunities to learn are different from those in urban and suburban schools. Online tutoring has emerged as an effective, convenient and beneficial technology to provide supplemental academic supports to all students within a school community, particularly those at-risk and students in rural communities where access to supplemental academic supports is limited.GOAL: To improve achievement in mathematics for students in rural communities through on-demand, online tutoring services.OBJECTIVES: The proposed project will take place over four years with the main intervention and data collection occurring in years 2 and 3. The resultant data will be analyzed. The proposal objectives state that students who use the tutoring services will demonstrate: increased homework completion, increased self-efficacy in mathematics and an increased desire to enroll in higher levels of mathematics, increased effort in school, improved grades in classes, increased achievement in mathematics, and increased performance on formative assessments in comparison with students who do not use the service.""",AP3: High Standards and High-Quality Assessments,CP8: Rural LEAs,Nonprofit w/ LEA,Development,4 years,4978232,No,"Arlington, VA
(38.8751, -77.1196)"
American Federation of Teachers Educational Foundation,American Federation of Teachers Educational Foundation Educator Evaluation for Excellence in Teaching and Learning Consortium,Washington,DC,20001,The E3TL Consortium will work in 10 districts in New York and Rhode Island to support the implementation of rigorous and comprehensive performance-based teacher evaluation systems that include standards for effectiveness in instructing limited English proficient (LEP) students and students with disabilities (SWDs) in mainstream classrooms. Research indicates that fidelity of implementation is critical to the success of comprehensive teacher evaluation systems in improving teaching quality and increasing student achievement.  This project will identify quality implementation components of performance-based teacher evaluation systems to assist in scale up of such systems across the country. The American Institutes for Research will conduct a formative and summative evaluation of the project.,AP1: Effective Teachers and Principals,CP7: Unique Learning Needs,Nonprofit w/ consortium of schools,Development,3 years,5000000,No,"Washington, DC
(38.9066, -77.0166)"
American Federation of Teachers Educational Foundation,AFT Teacher Excellence Collaborative,Washington,DC,20001,"""The American Federation of Teachers Educational Foundation (AFTEF) proposes to develop a Teacher Excellence Collaborative (TEC) under a three-year, $6 million i3 Development grant from the U.S. Department of Education. TEC will create performance assessments of student learning developed specifically to assess teacher effectiveness, guide professional development and evaluation, and measure students' progress in Biology and Algebra, areas where standardized tests do not exist. TEC's ultimate goals are to improve teacher evaluation and effectiveness, as well as student achievement. Success in Biology and Algebra is vital to preparing students to succeed in high school and enter college. In addition, the student performance assessments will be designed by experts for validity in addressing English Language Learners' (ELL) needs. AFTEF and Stanford University will work with18 district/union collaboratives, dividing them into those who are already deeply into changing teacher evaluation tied to professional development and those who are just beginning the process. Based on their capacity, districts will participate in conferences, webinars, and other professional development to learn about performance assessment, develop measures, and pilot a system of teacher continuous growth and evaluation that incorporates student performance assessments. Key expected outcomes include, among others, strategies for incorporating student performance assessments into teacher professional development and evaluation; valid performance measures for Biology and Algebra teachers; language for memorializing innovations into union contracts; webinars, seminars and reports; paradigm shift for teachers and administrators.WestEd will conduct formative and summative evaluation of the project. Project findings will be disseminated broadly through multiple mechanisms.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ consortium of schools,Development,3 years,4899219,No,"Washington, DC
(38.9066, -77.0166)"
American Insitute for HIstorians and History Educators (Franklin's Opus),"Creating Competent 21st Century Students - Innovating Instruction: National Consortium of
Urban Schools",Mullica Hill,NJ,8062,"""Our project, Creating Competent 21st Century Citizens, intends to help urban districts in the mid-Atlantic statesimprove student achievement and form young, critically-thinking adults, fully prepared for both collegiateeducation and for the 21st century workforce in accordance with Priority 3. We will be inclusive of learningall core subjects, will (1) increase the success of under-represented students in academically rigorous coursesincludingAP courses, (2) translate the New York state history standards and information from the stateassessments into classroom practices that meet the needs of all students, including high-need students, (3) andprovide rigorous content using inquiry pedagogies, as students and teachers become historical researchersusing critical and creative thinking in projects and contextual learning opportunities.Under this priority, we are proposing a project that is based on rigorous state standards, like those in New York.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ consortium of schools,Validation,5 years,22431100,No,"Mullica Hill, NJ
(39.722, -75.2213)"
American Institute for Historians and History Educators,"Innovating through History: Improving Student Achievement and Teacher Efficacy in Rural 
Districts",Mullica Hill,NJ,8062,"""Our project, Innovating through History: Increasing Student Achievement and Teacher Efficacy in Rural Districts, intends to help rural districts in Texas improve student achievement and form young, critically-thinking adults, fully prepared for both collegiate education and for the 21st century workforce in accordance with  Priority 3. Our project, will (1) increase the success of under-represented students in academically rigorous courses, (2) translate the Texas state history standards and information from the TEKS assessments into classroom practices that meet the needs of all students, including high-need students, (3) and provide rigorous content through inquiry processes inquiry, by having students and teachers become historical researchers and having them use critical and creative thinking in projects and contextual learning opportunities.  Under this priority, we are proposing a project that is based on rigorous Texas state standards.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,25474600,No,"Mullica Hill, NJ
(39.722, -75.2213)"
